Speaker,Age,Sex,Adjective,Gender.N1,Gender.N2,Case.Prep,Position,Agreement,AgreementNO,AgreementNN1,AgreementNN2,AgeF
4,18,female,straff,fem,neut,DAT,non-initial,N1,NO,N1,NN2,"[16,30]"
4,18,female,verstopft,neut,masc,DAT,non-initial,N2,NO,NN1,N2,"[16,30]"
4,18,female,verschlafen,neut,fem,GEN,initial,N1,NO,N1,NN2,"[16,30]"
5,17,male,traurig,neut,fem,DAT,non-initial,N1,NO,N1,NN2,"[16,30]"
5,17,male,verletzt,neut,masc,GEN,initial,N2,NO,NN1,N2,"[16,30]"
5,17,male,steinig,masc,neut,GEN,initial,N1,NO,N1,NN2,"[16,30]"
5,17,male,blond,fem,masc,GEN,non-initial,N1,NO,N1,NN2,"[16,30]"
5,17,male,fleissig,masc,neut,DAT,non-initial,N1,NO,N1,NN2,"[16,30]"
5,17,male,verstopft,neut,masc,DAT,non-initial,N2,NO,NN1,N2,"[16,30]"
5,17,male,verschlafen,neut,fem,GEN,initial,N2,NO,NN1,N2,"[16,30]"
9,17,female,krank,masc,fem,GEN,non-initial,N1,NO,N1,NN2,"[16,30]"
9,17,female,gesund,fem,neut,GEN,initial,N1,NO,N1,NN2,"[16,30]"
9,17,female,traurig,neut,fem,DAT,non-initial,N1,NO,N1,NN2,"[16,30]"
9,17,female,voll,fem,masc,DAT,initial,N1,NO,N1,NN2,"[16,30]"
9,17,female,verletzt,neut,masc,GEN,initial,N1,NO,N1,NN2,"[16,30]"
9,17,female,straff,fem,neut,DAT,non-initial,N1,NO,N1,NN2,"[16,30]"
9,17,female,steinig,masc,neut,GEN,initial,N1,NO,N1,NN2,"[16,30]"
9,17,female,blond,fem,masc,GEN,non-initial,N1,NO,N1,NN2,"[16,30]"
9,17,female,fleissig,masc,neut,DAT,non-initial,N1,NO,N1,NN2,"[16,30]"
9,17,female,verstopft,neut,masc,DAT,non-initial,N1,NO,N1,NN2,"[16,30]"
9,17,female,verschlafen,neut,fem,GEN,initial,N1,NO,N1,NN2,"[16,30]"
11,16,female,krank,masc,fem,GEN,non-initial,N1,NO,N1,NN2,"[16,30]"
11,16,female,gesund,fem,neut,GEN,initial,N1,NO,N1,NN2,"[16,30]"
11,16,female,traurig,neut,fem,DAT,non-initial,N1,NO,N1,NN2,"[16,30]"
11,16,female,koestlich,masc,fem,DAT,initial,N1,NO,N1,NN2,"[16,30]"
11,16,female,verletzt,neut,masc,GEN,initial,N1,NO,N1,NN2,"[16,30]"
11,16,female,straff,fem,neut,DAT,non-initial,N1,NO,N1,NN2,"[16,30]"
11,16,female,steinig,masc,neut,GEN,initial,N1,NO,N1,NN2,"[16,30]"
11,16,female,blond,fem,masc,GEN,non-initial,N1,NO,N1,NN2,"[16,30]"
11,16,female,fleissig,masc,neut,DAT,non-initial,N1,NO,N1,NN2,"[16,30]"
11,16,female,verstopft,neut,masc,DAT,non-initial,N1,NO,N1,NN2,"[16,30]"
11,16,female,verschlafen,neut,fem,GEN,initial,N1,NO,N1,NN2,"[16,30]"
14,16,female,krank,masc,fem,GEN,non-initial,N1,NO,N1,NN2,"[16,30]"
