Speaker,Age,Gender,Adjective,Gender.N1,Gender.N2,Case.Prep,Position,Agreement,Agreement2,AgreementComb
4,18,female,krank,masc,fem,GEN,non-initial,D,e,N1masc-N2fem
4,18,female,gesund,fem,neut,GEN,initial,O,Ø,N1fem-N2neut
4,18,female,traurig,neut,fem,DAT,non-initial,O,Ø,N1neut-N2fem
4,18,female,voll,fem,masc,DAT,initial,O,Ø,N1fem-N2masc
4,18,female,koestlich,masc,fem,DAT,initial,O,Ø,N1masc-N2fem
4,18,female,verletzt,neut,masc,GEN,initial,O,Ø,N1neut-N2masc
4,18,female,straff,fem,neut,DAT,non-initial,N1,N1,N1fem-N2neut
4,18,female,steinig,masc,neut,GEN,initial,O,Ø,N1masc-N2neut
4,18,female,blond,fem,masc,GEN,non-initial,O,Ø,N1fem-N2masc
4,18,female,fleissig,masc,neut,DAT,non-initial,O,Ø,N1masc-N2neut
4,18,female,verstopft,neut,masc,DAT,non-initial,N2,N2,N1neut-N2masc
4,18,female,verschlafen,neut,fem,GEN,initial,N1,N1,N1neut-N2fem
5,17,male,krank,masc,fem,GEN,non-initial,O,Ø,N1masc-N2fem
5,17,male,gesund,fem,neut,GEN,initial,O,Ø,N1fem-N2neut
5,17,male,traurig,neut,fem,DAT,non-initial,N1,N1,N1neut-N2fem
5,17,male,voll,fem,masc,DAT,initial,O,Ø,N1fem-N2masc
5,17,male,koestlich,masc,fem,DAT,initial,O,Ø,N1masc-N2fem
5,17,male,verletzt,neut,masc,GEN,initial,N2,N2,N1neut-N2masc
5,17,male,straff,fem,neut,DAT,non-initial,O,Ø,N1fem-N2neut
5,17,male,steinig,masc,neut,GEN,initial,N1,N1,N1masc-N2neut
5,17,male,blond,fem,masc,GEN,non-initial,N1,N1,N1fem-N2masc
5,17,male,fleissig,masc,neut,DAT,non-initial,N1,N1,N1masc-N2neut
5,17,male,verstopft,neut,masc,DAT,non-initial,N2,N2,N1neut-N2masc
5,17,male,verschlafen,neut,fem,GEN,initial,N2,N2,N1neut-N2fem
8,18,female,krank,masc,fem,GEN,non-initial,O,Ø,N1masc-N2fem
8,18,female,gesund,fem,neut,GEN,initial,O,Ø,N1fem-N2neut
8,18,female,traurig,neut,fem,DAT,non-initial,O,Ø,N1neut-N2fem
8,18,female,voll,fem,masc,DAT,initial,O,Ø,N1fem-N2masc
8,18,female,koestlich,masc,fem,DAT,initial,O,Ø,N1masc-N2fem
8,18,female,verletzt,neut,masc,GEN,initial,O,Ø,N1neut-N2masc
8,18,female,straff,fem,neut,DAT,non-initial,O,Ø,N1fem-N2neut
8,18,female,steinig,masc,neut,GEN,initial,O,Ø,N1masc-N2neut
8,18,female,blond,fem,masc,GEN,non-initial,O,Ø,N1fem-N2masc
8,18,female,fleissig,masc,neut,DAT,non-initial,O,Ø,N1masc-N2neut
8,18,female,verstopft,neut,masc,DAT,non-initial,O,Ø,N1neut-N2masc
8,18,female,verschlafen,neut,fem,GEN,initial,O,Ø,N1neut-N2fem
9,17,female,krank,masc,fem,GEN,non-initial,N1,N1,N1masc-N2fem
9,17,female,gesund,fem,neut,GEN,initial,N1,N1,N1fem-N2neut
9,17,female,traurig,neut,fem,DAT,non-initial,N1,N1,N1neut-N2fem
9,17,female,voll,fem,masc,DAT,initial,N1,N1,N1fem-N2masc
9,17,female,koestlich,masc,fem,DAT,initial,D,e,N1masc-N2fem
9,17,female,verletzt,neut,masc,GEN,initial,N1,N1,N1neut-N2masc
9,17,female,straff,fem,neut,DAT,non-initial,N1,N1,N1fem-N2neut
9,17,female,steinig,masc,neut,GEN,initial,N1,N1,N1masc-N2neut
9,17,female,blond,fem,masc,GEN,non-initial,N1,N1,N1fem-N2masc
9,17,female,fleissig,masc,neut,DAT,non-initial,N1,N1,N1masc-N2neut
9,17,female,verstopft,neut,masc,DAT,non-initial,N1,N1,N1neut-N2masc
9,17,female,verschlafen,neut,fem,GEN,initial,N1,N1,N1neut-N2fem
11,16,female,krank,masc,fem,GEN,non-initial,N1,N1,N1masc-N2fem
11,16,female,gesund,fem,neut,GEN,initial,N1,N1,N1fem-N2neut
11,16,female,traurig,neut,fem,DAT,non-initial,N1,N1,N1neut-N2fem
11,16,female,koestlich,masc,fem,DAT,initial,N1,N1,N1masc-N2fem
11,16,female,verletzt,neut,masc,GEN,initial,N1,N1,N1neut-N2masc
11,16,female,straff,fem,neut,DAT,non-initial,N1,N1,N1fem-N2neut
11,16,female,steinig,masc,neut,GEN,initial,N1,N1,N1masc-N2neut
11,16,female,blond,fem,masc,GEN,non-initial,N1,N1,N1fem-N2masc
11,16,female,fleissig,masc,neut,DAT,non-initial,N1,N1,N1masc-N2neut
11,16,female,verstopft,neut,masc,DAT,non-initial,N1,N1,N1neut-N2masc
11,16,female,verschlafen,neut,fem,GEN,initial,N1,N1,N1neut-N2fem
12,18,male,krank,masc,fem,GEN,non-initial,O,Ø,N1masc-N2fem
12,18,male,gesund,fem,neut,GEN,initial,O,Ø,N1fem-N2neut
12,18,male,traurig,neut,fem,DAT,non-initial,O,Ø,N1neut-N2fem
12,18,male,voll,fem,masc,DAT,initial,O,Ø,N1fem-N2masc
12,18,male,koestlich,masc,fem,DAT,initial,O,Ø,N1masc-N2fem
12,18,male,verletzt,neut,masc,GEN,initial,O,Ø,N1neut-N2masc
12,18,male,straff,fem,neut,DAT,non-initial,O,Ø,N1fem-N2neut
12,18,male,steinig,masc,neut,GEN,initial,O,Ø,N1masc-N2neut
12,18,male,blond,fem,masc,GEN,non-initial,O,Ø,N1fem-N2masc
12,18,male,fleissig,masc,neut,DAT,non-initial,O,Ø,N1masc-N2neut
12,18,male,verstopft,neut,masc,DAT,non-initial,O,Ø,N1neut-N2masc
12,18,male,verschlafen,neut,fem,GEN,initial,O,Ø,N1neut-N2fem
14,16,female,krank,masc,fem,GEN,non-initial,N1,N1,N1masc-N2fem
14,16,female,gesund,fem,neut,GEN,initial,N1,N1,N1fem-N2neut
14,16,female,traurig,neut,fem,DAT,non-initial,N1,N1,N1neut-N2fem
14,16,female,voll,fem,masc,DAT,initial,N1,N1,N1fem-N2masc
14,16,female,koestlich,masc,fem,DAT,initial,N1,N1,N1masc-N2fem
14,16,female,verletzt,neut,masc,GEN,initial,N1,N1,N1neut-N2masc
14,16,female,straff,fem,neut,DAT,non-initial,N1,N1,N1fem-N2neut
14,16,female,steinig,masc,neut,GEN,initial,N1,N1,N1masc-N2neut
14,16,female,blond,fem,masc,GEN,non-initial,N1,N1,N1fem-N2masc
14,16,female,fleissig,masc,neut,DAT,non-initial,N1,N1,N1masc-N2neut
14,16,female,verstopft,neut,masc,DAT,non-initial,N1,N1,N1neut-N2masc
14,16,female,verschlafen,neut,fem,GEN,initial,N1,N1,N1neut-N2fem
15,16,female,krank,masc,fem,GEN,non-initial,N1,N1,N1masc-N2fem
15,16,female,gesund,fem,neut,GEN,initial,N1,N1,N1fem-N2neut
15,16,female,traurig,neut,fem,DAT,non-initial,O,Ø,N1neut-N2fem
15,16,female,voll,fem,masc,DAT,initial,N1,N1,N1fem-N2masc
15,16,female,koestlich,masc,fem,DAT,initial,N1,N1,N1masc-N2fem
15,16,female,verletzt,neut,masc,GEN,initial,N1,N1,N1neut-N2masc
15,16,female,straff,fem,neut,DAT,non-initial,N1,N1,N1fem-N2neut
15,16,female,steinig,masc,neut,GEN,initial,O,Ø,N1masc-N2neut
15,16,female,blond,fem,masc,GEN,non-initial,N1,N1,N1fem-N2masc
15,16,female,fleissig,masc,neut,DAT,non-initial,N1,N1,N1masc-N2neut
15,16,female,verstopft,neut,masc,DAT,non-initial,N1,N1,N1neut-N2masc
15,16,female,verschlafen,neut,fem,GEN,initial,N1,N1,N1neut-N2fem
16,17,female,krank,masc,fem,GEN,non-initial,O,Ø,N1masc-N2fem
16,17,female,gesund,fem,neut,GEN,initial,O,Ø,N1fem-N2neut
16,17,female,traurig,neut,fem,DAT,non-initial,O,Ø,N1neut-N2fem
16,17,female,voll,fem,masc,DAT,initial,O,Ø,N1fem-N2masc
16,17,female,koestlich,masc,fem,DAT,initial,O,Ø,N1masc-N2fem
16,17,female,verletzt,neut,masc,GEN,initial,O,Ø,N1neut-N2masc
16,17,female,straff,fem,neut,DAT,non-initial,O,Ø,N1fem-N2neut
16,17,female,steinig,masc,neut,GEN,initial,O,Ø,N1masc-N2neut
16,17,female,blond,fem,masc,GEN,non-initial,O,Ø,N1fem-N2masc
16,17,female,fleissig,masc,neut,DAT,non-initial,O,Ø,N1masc-N2neut
16,17,female,verstopft,neut,masc,DAT,non-initial,O,Ø,N1neut-N2masc
16,17,female,verschlafen,neut,fem,GEN,initial,O,Ø,N1neut-N2fem
17,17,female,krank,masc,fem,GEN,non-initial,N2,N2,N1masc-N2fem
17,17,female,gesund,fem,neut,GEN,initial,N2,N2,N1fem-N2neut
17,17,female,traurig,neut,fem,DAT,non-initial,N2,N2,N1neut-N2fem
17,17,female,voll,fem,masc,DAT,initial,N2,N2,N1fem-N2masc
17,17,female,koestlich,masc,fem,DAT,initial,N2,N2,N1masc-N2fem
17,17,female,verletzt,neut,masc,GEN,initial,N2,N2,N1neut-N2masc
17,17,female,straff,fem,neut,DAT,non-initial,N2,N2,N1fem-N2neut
17,17,female,steinig,masc,neut,GEN,initial,N2,N2,N1masc-N2neut
17,17,female,blond,fem,masc,GEN,non-initial,N2,N2,N1fem-N2masc
17,17,female,fleissig,masc,neut,DAT,non-initial,N2,N2,N1masc-N2neut
17,17,female,verstopft,neut,masc,DAT,non-initial,N2,N2,N1neut-N2masc
17,17,female,verschlafen,neut,fem,GEN,initial,N2,N2,N1neut-N2fem
